


| Training Step | Cross Entropy |  Layer  |   Epoch  |
|---------------|---------------|---------|----------|
|             0 |      146.1607 | Layer 1 | Epoch 19  |
|             0 |     2512.7258 | Layer 2 | Epoch 19  |
|           100 |      139.8761 | Layer 1 | Epoch 19  |
|           100 |     1358.6073 | Layer 2 | Epoch 19  |
|           200 |      132.8357 | Layer 1 | Epoch 19  |
|           200 |     1284.6316 | Layer 2 | Epoch 19  |
|           300 |      137.7966 | Layer 1 | Epoch 19  |
|           300 |     1256.3531 | Layer 2 | Epoch 19  |
|           400 |      137.6479 | Layer 1 | Epoch 19  |
|           400 |     1262.8398 | Layer 2 | Epoch 19  |
|           500 |      136.6648 | Layer 1 | Epoch 19  |
|           500 |     1264.3064 | Layer 2 | Epoch 19  |



| Training Step | Cross Entropy |  Layer  |   Epoch  |
|---------------|---------------|---------|----------|
|             0 |      138.6698 | Layer 1 | Epoch 20  |
|             0 |     2574.4573 | Layer 2 | Epoch 20  |
|           100 |      141.2713 | Layer 1 | Epoch 20  |
|           100 |     1356.0267 | Layer 2 | Epoch 20  |
|           200 |      140.1088 | Layer 1 | Epoch 20  |
|           200 |     1275.9055 | Layer 2 | Epoch 20  |
|           300 |      140.6884 | Layer 1 | Epoch 20  |
|           300 |     1259.6895 | Layer 2 | Epoch 20  |
|           400 |      137.0984 | Layer 1 | Epoch 20  |
|           400 |     1257.7231 | Layer 2 | Epoch 20  |
|           500 |      140.1306 | Layer 1 | Epoch 20  |
|           500 |     1252.9713 | Layer 2 | Epoch 20  |
('Total time = ', 77)
Extracting /afs/andrew.cmu.edu/usr19/prakrutp/private/parallel/15-618-Project/TensorFlowDeepAutoencoder/data/train-labels-idx1-ubyte.gz
Extracting /afs/andrew.cmu.edu/usr19/prakrutp/private/parallel/15-618-Project/TensorFlowDeepAutoencoder/data/t10k-labels-idx1-ubyte.gz
Step 0: loss = 2.37 (0.039 sec)
Step 100: loss = 1.74 (0.002 sec)
Step 200: loss = 1.70 (0.002 sec)
Step 300: loss = 1.65 (0.002 sec)
Step 400: loss = 1.72 (0.003 sec)
Step 500: loss = 1.64 (0.003 sec)
Step 600: loss = 1.65 (0.002 sec)
Step 700: loss = 1.65 (0.002 sec)
Step 800: loss = 1.63 (0.002 sec)
Step 900: loss = 1.65 (0.003 sec)
Step 1000: loss = 1.61 (0.003 sec)
Step 1100: loss = 1.64 (0.058 sec)
Step 1200: loss = 1.66 (0.002 sec)
Step 1300: loss = 1.61 (0.003 sec)
Step 1400: loss = 1.63 (0.003 sec)
Step 1500: loss = 1.63 (0.003 sec)
Step 1600: loss = 1.59 (0.003 sec)
Step 1700: loss = 1.58 (0.003 sec)
Step 1800: loss = 1.54 (0.002 sec)
Step 1900: loss = 1.62 (0.002 sec)
Step 2000: loss = 1.58 (0.003 sec)
Step 2100: loss = 1.61 (0.003 sec)
Step 2200: loss = 1.55 (0.057 sec)
Step 2300: loss = 1.56 (0.003 sec)
Step 2400: loss = 1.57 (0.003 sec)
Step 2500: loss = 1.59 (0.003 sec)
Step 2600: loss = 1.60 (0.003 sec)
Step 2700: loss = 1.55 (0.003 sec)
Step 2800: loss = 1.58 (0.003 sec)
Step 2900: loss = 1.56 (0.002 sec)
Step 3000: loss = 1.60 (0.003 sec)
Step 3100: loss = 1.59 (0.002 sec)
Step 3200: loss = 1.58 (0.002 sec)
Step 3300: loss = 1.53 (0.057 sec)
Step 3400: loss = 1.57 (0.003 sec)
Step 3500: loss = 1.56 (0.003 sec)
Step 3600: loss = 1.58 (0.003 sec)
Step 3700: loss = 1.55 (0.003 sec)
Step 3800: loss = 1.56 (0.003 sec)
Step 3900: loss = 1.59 (0.003 sec)
Step 4000: loss = 1.56 (0.003 sec)
Step 4100: loss = 1.57 (0.003 sec)
Step 4200: loss = 1.61 (0.003 sec)
Step 4300: loss = 1.58 (0.002 sec)
Step 4400: loss = 1.54 (0.058 sec)
Step 4500: loss = 1.57 (0.003 sec)
Step 4600: loss = 1.58 (0.003 sec)
Step 4700: loss = 1.52 (0.003 sec)
Step 4800: loss = 1.55 (0.003 sec)
Step 4900: loss = 1.54 (0.003 sec)
Step 5000: loss = 1.57 (0.003 sec)
Step 5100: loss = 1.55 (0.003 sec)
Step 5200: loss = 1.60 (0.003 sec)
Step 5300: loss = 1.55 (0.003 sec)
Step 5400: loss = 1.53 (0.003 sec)
Step 5500: loss = 1.53 (0.059 sec)
Step 5600: loss = 1.54 (0.003 sec)
Step 5700: loss = 1.58 (0.003 sec)
Step 5800: loss = 1.58 (0.003 sec)
Step 5900: loss = 1.55 (0.003 sec)
Step 6000: loss = 1.55 (0.002 sec)
