


| Training Step | Cross Entropy |  Layer  |   Epoch  |
|           100 |     1365.8472 | Layer 2 | Epoch 18  |
|           200 |      146.1182 | Layer 1 | Epoch 18  |
|           200 |     1273.8411 | Layer 2 | Epoch 18  |
|           300 |      142.9621 | Layer 1 | Epoch 18  |
|           300 |     1271.3544 | Layer 2 | Epoch 18  |
|           400 |      141.8248 | Layer 1 | Epoch 18  |
|           400 |     1265.2043 | Layer 2 | Epoch 18  |
|           500 |      145.8121 | Layer 1 | Epoch 18  |
|           500 |     1266.1626 | Layer 2 | Epoch 18  |



| Training Step | Cross Entropy |  Layer  |   Epoch  |
|---------------|---------------|---------|----------|
|             0 |      143.1960 | Layer 1 | Epoch 19  |
|             0 |     2514.7178 | Layer 2 | Epoch 19  |
|           100 |      140.3240 | Layer 1 | Epoch 19  |
|           100 |     1364.7036 | Layer 2 | Epoch 19  |
|           200 |      135.9118 | Layer 1 | Epoch 19  |
|           200 |     1283.9741 | Layer 2 | Epoch 19  |
|           300 |      139.2456 | Layer 1 | Epoch 19  |
|           300 |     1273.5002 | Layer 2 | Epoch 19  |
|           400 |      139.5011 | Layer 1 | Epoch 19  |
|           400 |     1264.7373 | Layer 2 | Epoch 19  |
|           500 |      139.5046 | Layer 1 | Epoch 19  |
|           500 |     1264.9023 | Layer 2 | Epoch 19  |



| Training Step | Cross Entropy |  Layer  |   Epoch  |
|---------------|---------------|---------|----------|
|             0 |      148.6434 | Layer 1 | Epoch 20  |
|             0 |     2561.4937 | Layer 2 | Epoch 20  |
|           100 |      143.7675 | Layer 1 | Epoch 20  |
|           100 |     1361.4187 | Layer 2 | Epoch 20  |
|           200 |      141.4918 | Layer 1 | Epoch 20  |
|           200 |     1276.4745 | Layer 2 | Epoch 20  |
|           300 |      135.9730 | Layer 1 | Epoch 20  |
|           300 |     1263.1237 | Layer 2 | Epoch 20  |
|           400 |      142.2335 | Layer 1 | Epoch 20  |
|           400 |     1258.4803 | Layer 2 | Epoch 20  |
|           500 |      136.9872 | Layer 1 | Epoch 20  |
|           500 |     1264.0500 | Layer 2 | Epoch 20  |



| Training Step | Cross Entropy |  Layer  |   Epoch  |
|---------------|---------------|---------|----------|
|             0 |      141.0935 | Layer 1 | Epoch 21  |
|             0 |     2444.9617 | Layer 2 | Epoch 21  |
|           100 |      142.1743 | Layer 1 | Epoch 21  |
|           100 |     1355.4176 | Layer 2 | Epoch 21  |
|           200 |      141.8002 | Layer 1 | Epoch 21  |
|           200 |     1270.1490 | Layer 2 | Epoch 21  |
|           300 |      137.3242 | Layer 1 | Epoch 21  |
|           300 |     1258.8718 | Layer 2 | Epoch 21  |
|           400 |      142.6056 | Layer 1 | Epoch 21  |
|           400 |     1249.3330 | Layer 2 | Epoch 21  |
|           500 |      138.1620 | Layer 1 | Epoch 21  |
|           500 |     1260.8071 | Layer 2 | Epoch 21  |



| Training Step | Cross Entropy |  Layer  |   Epoch  |
|---------------|---------------|---------|----------|
|             0 |      136.3813 | Layer 1 | Epoch 22  |
|             0 |     2519.6113 | Layer 2 | Epoch 22  |
|           100 |      137.6575 | Layer 1 | Epoch 22  |
|           100 |     1364.9231 | Layer 2 | Epoch 22  |
|           200 |      137.5347 | Layer 1 | Epoch 22  |
|           200 |     1269.5199 | Layer 2 | Epoch 22  |
|           300 |      138.7773 | Layer 1 | Epoch 22  |
|           300 |     1261.6339 | Layer 2 | Epoch 22  |
|           400 |      141.7339 | Layer 1 | Epoch 22  |
|           400 |     1248.0767 | Layer 2 | Epoch 22  |
|           500 |      130.3221 | Layer 1 | Epoch 22  |
|           500 |     1259.1205 | Layer 2 | Epoch 22  |



| Training Step | Cross Entropy |  Layer  |   Epoch  |
|---------------|---------------|---------|----------|
|             0 |      133.7103 | Layer 1 | Epoch 23  |
|             0 |     2534.6541 | Layer 2 | Epoch 23  |
